01_Hades_	/Users/mac/Desktop/触动精灵deb/拆解分析/触动16版/文件系统/var/jb/Applications/TouchSpritePe.app/Hades	69058be7235731772247ce8492f931922e46db81ef7a263bf8927035045a7d8a	Non-fat file: /Users/mac/Desktop/触动精灵deb/拆解分析/触动16版/文件系统/var/jb/Applications/TouchSpritePe.app/Hades is architecture: arm64 
02_OcrPlugin.dylib_	/Users/mac/Desktop/触动精灵deb/拆解分析/触动16版/文件系统/var/jb/Applications/TouchSpritePe.app/OcrPlugin.dylib	39edd4cf95b5fbca3c390fe19bd30998bfe4da9f767498de9d5b1e1697257625	Non-fat file: /Users/mac/Desktop/触动精灵deb/拆解分析/触动16版/文件系统/var/jb/Applications/TouchSpritePe.app/OcrPlugin.dylib is architecture: arm64 
03_TSDaemon_	/Users/mac/Desktop/触动精灵deb/拆解分析/触动16版/文件系统/var/jb/Applications/TouchSpritePe.app/TSDaemon	4e89b9a34cd9a7a6d374a7afd0edfc96a42ba20a5e5ed67b0ebbce6a72543d57	Non-fat file: /Users/mac/Desktop/触动精灵deb/拆解分析/触动16版/文件系统/var/jb/Applications/TouchSpritePe.app/TSDaemon is architecture: arm64 
04_TSInstaller_	/Users/mac/Desktop/触动精灵deb/拆解分析/触动16版/文件系统/var/jb/Applications/TouchSpritePe.app/TSInstaller	aacdf47219bb07bcd6379d3e5c5c42a023d26e92280740cb70b8d92c88d3a3be	Non-fat file: /Users/mac/Desktop/触动精灵deb/拆解分析/触动16版/文件系统/var/jb/Applications/TouchSpritePe.app/TSInstaller is architecture: arm64 
05_TSLn_	/Users/mac/Desktop/触动精灵deb/拆解分析/触动16版/文件系统/var/jb/Applications/TouchSpritePe.app/TSLn	9859bd2a5df6fda0ea533289a285a3837f237036e6f3f45647803a6f2b1b1c10	Non-fat file: /Users/mac/Desktop/触动精灵deb/拆解分析/触动16版/文件系统/var/jb/Applications/TouchSpritePe.app/TSLn is architecture: arm64 
06_TSUpdate_	/Users/mac/Desktop/触动精灵deb/拆解分析/触动16版/文件系统/var/jb/Applications/TouchSpritePe.app/TSUpdate	bb7c986049615a986091036c37ab4e4581709b542322de96a24fa1f84d3beeba	Architectures in the fat file: /Users/mac/Desktop/触动精灵deb/拆解分析/触动16版/文件系统/var/jb/Applications/TouchSpritePe.app/TSUpdate are: armv7 arm64  
07_TouchSpritePe_	/Users/mac/Desktop/触动精灵deb/拆解分析/触动16版/文件系统/var/jb/Applications/TouchSpritePe.app/TouchSpritePe	3f5b65129956e0d5b005beae7bdfab596d5f7c27cd12ef3c477db290bd3a9d25	Architectures in the fat file: /Users/mac/Desktop/触动精灵deb/拆解分析/触动16版/文件系统/var/jb/Applications/TouchSpritePe.app/TouchSpritePe are: armv7 arm64  
08_luasql.so_	/Users/mac/Desktop/触动精灵deb/拆解分析/触动16版/文件系统/var/jb/Applications/TouchSpritePe.app/libs/luasql.so	951940fe77cda1c86eb0ffa5f8e7188baf366ff874235c0b4da165738ad9e3a0	Architectures in the fat file: /Users/mac/Desktop/触动精灵deb/拆解分析/触动16版/文件系统/var/jb/Applications/TouchSpritePe.app/libs/luasql.so are: armv7s arm64  
09_sz.so_	/Users/mac/Desktop/触动精灵deb/拆解分析/触动16版/文件系统/var/jb/Applications/TouchSpritePe.app/libs/sz.so	1abc6b40812896b48e02a61fdad6d1f0febdfac1d28017b3151617b93726e2ac	Architectures in the fat file: /Users/mac/Desktop/触动精灵deb/拆解分析/触动16版/文件系统/var/jb/Applications/TouchSpritePe.app/libs/sz.so are: armv7 arm64  
10_model.so_	/Users/mac/Desktop/触动精灵deb/拆解分析/触动16版/文件系统/var/jb/Applications/TouchSpritePe.app/model.so	84e45e7523ba94e83f3037662039d2fe6a15071f28944f25b139e6e2bd61fcf1	Non-fat file: /Users/mac/Desktop/触动精灵deb/拆解分析/触动16版/文件系统/var/jb/Applications/TouchSpritePe.app/model.so is architecture: arm64 
11_paddleocr.so_	/Users/mac/Desktop/触动精灵deb/拆解分析/触动16版/文件系统/var/jb/Applications/TouchSpritePe.app/paddleocr.so	c2e9f6e65741e79f379515027f2adfeee0b6f2a3e2ed4b475c4e2e17c158665c	Non-fat file: /Users/mac/Desktop/触动精灵deb/拆解分析/触动16版/文件系统/var/jb/Applications/TouchSpritePe.app/paddleocr.so is architecture: arm64 
12_unzip_	/Users/mac/Desktop/触动精灵deb/拆解分析/触动16版/文件系统/var/jb/Applications/TouchSpritePe.app/unzip	3a5d2fa996d98d6783a4f3a66da7a1b65704ea4d1d8cecabc1ea8f14c4ff0168	Non-fat file: /Users/mac/Desktop/触动精灵deb/拆解分析/触动16版/文件系统/var/jb/Applications/TouchSpritePe.app/unzip is architecture: arm 
13_TSTweak.dylib_	/Users/mac/Desktop/触动精灵deb/拆解分析/触动16版/文件系统/var/jb/Library/MobileSubstrate/DynamicLibraries/TSTweak.dylib	1c0e783e277ae76e13252c32a76917b1cbe488bd1a417836495f905f3734357d	Architectures in the fat file: /Users/mac/Desktop/触动精灵deb/拆解分析/触动16版/文件系统/var/jb/Library/MobileSubstrate/DynamicLibraries/TSTweak.dylib are: arm64 arm64e  
